Gene_length	Strand	Gene_name	Ensembl_gene	Gene_biotype
388	-	AC246680.2	ENSG00000268074	processed_pseudogene
8262	+	AL356417.1	ENSG00000224478	lincRNA
92	+	RNU6-56P	ENSG00000252795	snRNA
77	-	CPEB3_ribozyme	ENSG00000221042	ribozyme
40566	+	DLD	ENSG00000091140	protein_coding
293	+	RN7SL223P	ENSG00000240202	misc_RNA
1017	+	AC092192.1	ENSG00000282535	lincRNA
114	+	RNA5SP372	ENSG00000212138	rRNA
2203	-	AC017071.1	ENSG00000259915	lincRNA
39473	-	CAPN12	ENSG00000182472	protein_coding
82314	+	AC129807.1	ENSG00000242009	lincRNA
534	-	YBX1P7	ENSG00000232349	processed_pseudogene
73468	-	SETD7	ENSG00000145391	protein_coding
297	+	RN7SL420P	ENSG00000239984	misc_RNA
134753	+	TRRAP	ENSG00000196367	protein_coding
10127	+	EXOC3L4	ENSG00000205436	protein_coding
1242	+	AP000251.1	ENSG00000237594	lincRNA
49880	+	IL21R	ENSG00000103522	protein_coding
61973	-	PSMB7	ENSG00000136930	protein_coding
3501	+	AL121835.2	ENSG00000279565	TEC
954	+	AC092809.1	ENSG00000229742	processed_pseudogene
329	+	AL158827.2	ENSG00000269907	processed_pseudogene
121	+	SNORA26	ENSG00000212590	snoRNA
296	-	AC112225.1	ENSG00000250214	processed_pseudogene
716	+	AC009299.1	ENSG00000225813	processed_pseudogene
201	+	AL136313.1	ENSG00000280443	TEC
20986	+	BPESC1	ENSG00000232416	lincRNA
1315	+	CDC37P2	ENSG00000261089	processed_pseudogene
121009	-	OSTM1	ENSG00000081087	protein_coding
449	-	RPL12P31	ENSG00000241228	processed_pseudogene
195209	+	CRIM1	ENSG00000150938	protein_coding
1794	+	IQCF2	ENSG00000184345	protein_coding
816	+	AC007568.1	ENSG00000224136	processed_pseudogene
1257	+	AC104332.1	ENSG00000225505	processed_pseudogene
551	+	AC096708.4	ENSG00000273584	sense_intronic
5487	+	AC015909.1	ENSG00000249406	lincRNA
26698	+	NOL11	ENSG00000130935	protein_coding
617004	-	RASGEF1B	ENSG00000138670	protein_coding
791	+	AC091057.2	ENSG00000269930	lincRNA
294	+	RN7SL271P	ENSG00000239250	misc_RNA
119609	+	FAM81A	ENSG00000157470	protein_coding
9750	-	AL449403.2	ENSG00000275465	lincRNA
30597	+	ARCN1	ENSG00000095139	protein_coding
729	+	LENEP	ENSG00000163352	protein_coding
135807	+	BMP2K	ENSG00000138756	protein_coding
13320	+	DPH1	ENSG00000108963	protein_coding
775	-	U51244.1	ENSG00000228481	antisense_RNA
107	-	RNU6-1244P	ENSG00000200484	snRNA
61516	+	AC064807.2	ENSG00000253844	lincRNA
19895	-	SNIP1	ENSG00000163877	protein_coding
44071	+	B4GALNT2	ENSG00000167080	protein_coding
9931	-	LINC01882	ENSG00000267654	lincRNA
74300	+	ABHD18	ENSG00000164074	protein_coding
269	+	AL355076.1	ENSG00000214759	processed_pseudogene
47693	-	CIR1	ENSG00000138433	protein_coding
1653	+	AC129502.1	ENSG00000280321	TEC
16857	+	BPIFA4P	ENSG00000183566	transcribed_unitary_pseudogene
1142	-	AC092570.2	ENSG00000232556	processed_pseudogene
213582	-	CBLB	ENSG00000114423	protein_coding
15334	+	NFE4	ENSG00000230257	protein_coding
1267	+	RBM48P1	ENSG00000223620	processed_pseudogene
12176	+	E4F1	ENSG00000167967	protein_coding
94222	-	LINC01234	ENSG00000249550	lincRNA
208296	+	COMMD10	ENSG00000145781	protein_coding
89	-	MIR151A	ENSG00000254324	miRNA
3790	+	AL354798.1	ENSG00000273628	unprocessed_pseudogene
404	-	AC112206.4	ENSG00000250669	processed_pseudogene
6192	+	LINC01893	ENSG00000264260	lincRNA
7889	-	ATP5B	ENSG00000110955	protein_coding
78	+	MIR6801	ENSG00000274380	miRNA
1572	-	AL137078.1	ENSG00000236874	lincRNA
39431	+	AC008164.1	ENSG00000223536	lincRNA
300	+	RN7SKP130	ENSG00000201794	misc_RNA
9062	+	AL845321.1	ENSG00000228522	transcribed_unprocessed_pseudogene
8051	-	AC025187.1	ENSG00000249994	lincRNA
104539	+	AC004158.1	ENSG00000260664	lincRNA
636	-	AL513304.1	ENSG00000233052	sense_intronic
30071	-	AL137024.1	ENSG00000244757	antisense_RNA
102033	+	AL589923.1	ENSG00000232413	lincRNA
1359	-	TSTD1	ENSG00000215845	protein_coding
106	+	RNU6-750P	ENSG00000212248	snRNA
1038	+	RABGAP1L-IT1	ENSG00000223525	sense_intronic
118	+	RNA5SP347	ENSG00000199315	rRNA
525	+	MTATP6P16	ENSG00000224299	unprocessed_pseudogene
57996	+	AL606489.1	ENSG00000226330	antisense_RNA
3102	-	AC008894.3	ENSG00000279198	TEC
4510	-	CASTOR1	ENSG00000239282	protein_coding
59056	-	AC020611.2	ENSG00000255886	antisense_RNA
3457	+	IGIP	ENSG00000182700	protein_coding
1456	+	KRT8P27	ENSG00000226502	processed_pseudogene
11254	+	AC099518.1	ENSG00000260430	lincRNA
280276	+	CNKSR2	ENSG00000149970	protein_coding
1203	+	PSMC1P2	ENSG00000213781	processed_pseudogene
206	-	GNG5P2	ENSG00000133136	processed_pseudogene
9941	-	GIGYF1	ENSG00000146830	protein_coding
15504	+	AL390774.2	ENSG00000230826	antisense_RNA
1367	-	AC010132.4	ENSG00000261019	lincRNA
586	-	AL355076.3	ENSG00000258878	processed_pseudogene
135	-	SCARNA14	ENSG00000252712	scaRNA
27610	+	IVD	ENSG00000128928	protein_coding
2525	+	TSPY14P	ENSG00000169849	unprocessed_pseudogene
1903	+	AC013444.1	ENSG00000229781	processed_pseudogene
121422	-	EIF3H	ENSG00000147677	protein_coding
8843	-	AC092673.1	ENSG00000249458	lincRNA
1024	+	OR4X2	ENSG00000172208	polymorphic_pseudogene
8693	-	AP001107.1	ENSG00000245156	lincRNA
22729	-	DPPA2	ENSG00000163530	protein_coding
223144	-	TAOK3	ENSG00000135090	protein_coding
642	+	AC011471.2	ENSG00000267563	antisense_RNA
108	+	RNA5SP259	ENSG00000202411	rRNA
708	-	AP001107.2	ENSG00000254452	antisense_RNA
453	-	AC018755.4	ENSG00000273837	sense_intronic
15203	+	UGT2B10	ENSG00000109181	protein_coding
55072	+	OLFML3	ENSG00000116774	protein_coding
9513	+	CD177	ENSG00000204936	protein_coding
432	+	AC005534.2	ENSG00000234450	processed_pseudogene
28263	+	PWRN4	ENSG00000260232	lincRNA
2855	+	TRDC	ENSG00000211829	TR_C_gene
3432	-	AC079354.1	ENSG00000222035	antisense_RNA
386	-	ISCA1P1	ENSG00000217416	processed_pseudogene
53579	+	WDR43	ENSG00000163811	protein_coding
2586	+	CYP2T3P	ENSG00000268529	unprocessed_pseudogene
36641	+	ATG4B	ENSG00000168397	protein_coding
14003	+	SLC25A38	ENSG00000144659	protein_coding
71	+	SNORD102	ENSG00000207500	snoRNA
525	-	AC113423.1	ENSG00000253244	antisense_RNA
120	-	Y_RNA	ENSG00000207319	misc_RNA
69	+	MIR548O2	ENSG00000275453	miRNA
5992	-	AC023825.2	ENSG00000260145	antisense_RNA
88054	-	AC008574.1	ENSG00000251293	lincRNA
193499	-	ABLIM2	ENSG00000163995	protein_coding
181248	+	AC079447.1	ENSG00000241962	protein_coding
150077	-	SHB	ENSG00000107338	protein_coding
941	+	OR1J2	ENSG00000197233	protein_coding
1272	+	KRT18P12	ENSG00000215819	processed_pseudogene
357	+	AC245505.3	ENSG00000276428	processed_pseudogene
6295	+	LINC02258	ENSG00000257912	lincRNA
5115	-	PLSCR3	ENSG00000187838	protein_coding
247	+	BX276092.4	ENSG00000230934	processed_pseudogene
10874	-	AL512605.1	ENSG00000236252	transcribed_processed_pseudogene
410	-	HIST1H3F	ENSG00000277775	protein_coding
2134	+	AC116347.2	ENSG00000249135	processed_pseudogene
183	+	AL020997.2	ENSG00000269971	sense_intronic
26987	+	SRD5A3	ENSG00000128039	protein_coding
114121	-	PIAS2	ENSG00000078043	protein_coding
49671	-	AL513283.1	ENSG00000228536	lincRNA
97	-	RNU6-856P	ENSG00000252768	snRNA
507	-	AP005205.1	ENSG00000261627	lincRNA
100	-	Y_RNA	ENSG00000207450	misc_RNA
425	-	VN1R85P	ENSG00000269345	unprocessed_pseudogene
6254	+	AL096869.2	ENSG00000259163	antisense_RNA
48	+	TRBJ2-3	ENSG00000211767	TR_J_gene
532	-	AC097065.2	ENSG00000273093	lincRNA
2969	+	ZBTB9	ENSG00000213588	protein_coding
247	-	RN7SL356P	ENSG00000266553	misc_RNA
61	-	MIR103B2	ENSG00000283320	miRNA
152	+	RN7SKP295	ENSG00000253073	misc_RNA
4015	-	AC034199.1	ENSG00000250274	lincRNA
17641	+	CA2	ENSG00000104267	protein_coding
220456	-	PCSK6	ENSG00000140479	protein_coding
36268	+	TMEM165	ENSG00000134851	protein_coding
1538	-	MTRNR2L3	ENSG00000256222	protein_coding
127	+	SNORA11D	ENSG00000221475	snoRNA
3643	-	LINC00846	ENSG00000186842	3prime_overlapping_ncRNA
606	-	MTCO2P34	ENSG00000232198	processed_pseudogene
6662	-	Z97986.1	ENSG00000261691	antisense_RNA
8788	-	OR9I1	ENSG00000172377	protein_coding
21835	+	NUDT19	ENSG00000213965	protein_coding
2118	+	AC010240.2	ENSG00000235253	processed_pseudogene
106	-	RNA5SP306	ENSG00000223019	rRNA
1861	+	TOX4P1	ENSG00000248697	processed_pseudogene
9284	+	SPANXN1	ENSG00000203923	protein_coding
4996	+	AL359851.1	ENSG00000260585	lincRNA
7730	+	ATP6V0E2	ENSG00000171130	protein_coding
787820	-	TENM4	ENSG00000149256	protein_coding
612	+	IGKV3D-11	ENSG00000211632	IG_V_gene
446	+	CHCHD2P8	ENSG00000235115	processed_pseudogene
46371	+	XK	ENSG00000047597	protein_coding
118	+	AC022616.6	ENSG00000254342	processed_pseudogene
246	-	MTHFD2P2	ENSG00000217169	processed_pseudogene
117	+	RNA5SP395	ENSG00000252376	rRNA
62803	-	AC015845.2	ENSG00000265542	lincRNA
82	+	MIR3622A	ENSG00000284351	miRNA
429	-	AC012640.3	ENSG00000271715	lincRNA
645	-	NTAN1P1	ENSG00000270965	processed_pseudogene
130	+	SCARNA20	ENSG00000252778	scaRNA
20915	+	ETFBKMT	ENSG00000139160	protein_coding
9726	+	PEBP1	ENSG00000089220	protein_coding
7620	+	CRYBA1	ENSG00000108255	protein_coding
877	+	LARP7P4	ENSG00000244024	processed_pseudogene
803	+	AC087292.1	ENSG00000263165	antisense_RNA
431	-	MYL6P3	ENSG00000227173	processed_pseudogene
405	+	AC096664.2	ENSG00000234488	processed_pseudogene
848	+	AC008716.1	ENSG00000213488	processed_pseudogene
9181	+	FDCSP	ENSG00000181617	protein_coding
38576	+	NCAPD2	ENSG00000010292	protein_coding
543	-	AC004223.2	ENSG00000267457	lincRNA
250394	+	DOCK8	ENSG00000107099	protein_coding
1454	-	AP002815.1	ENSG00000254460	sense_intronic
67063	-	ARNT	ENSG00000143437	protein_coding
2614	-	AC104116.1	ENSG00000249971	antisense_RNA
304	-	RN7SKP69	ENSG00000202260	misc_RNA
1162	-	RRM2P3	ENSG00000214018	processed_pseudogene
4303	-	UNC93B5	ENSG00000184795	unprocessed_pseudogene
117	-	RNA5SP353	ENSG00000201476	rRNA
19381	+	MEDAG	ENSG00000102802	protein_coding
59	+	MIR4521	ENSG00000283160	miRNA
1071	+	AC064872.1	ENSG00000270470	processed_pseudogene
283	+	RN7SL565P	ENSG00000276562	misc_RNA
6016	+	MRGPRF-AS1	ENSG00000256508	antisense_RNA
64	+	MIR6763	ENSG00000277052	miRNA
98838	+	BLM	ENSG00000197299	protein_coding
23492	-	NPIPB4	ENSG00000185864	protein_coding
1624	+	AL157871.5	ENSG00000258904	sense_intronic
57347	+	KIF3B	ENSG00000101350	protein_coding
22086	+	MEIOC	ENSG00000180336	protein_coding
88	+	SNORD113	ENSG00000201036	snoRNA
106	+	RNU6-364P	ENSG00000207115	snRNA
202	+	AC233702.9	ENSG00000266673	processed_pseudogene
83586	-	RANBP10	ENSG00000141084	protein_coding
573679	+	PHACTR1	ENSG00000112137	protein_coding
16306	-	LINC01898	ENSG00000261194	lincRNA
8566	-	PEX10	ENSG00000157911	protein_coding
84945	+	AC093083.1	ENSG00000235337	lincRNA
43533	+	NAB1	ENSG00000138386	protein_coding
153194	+	MICAL2	ENSG00000133816	protein_coding
29345	-	BSDC1	ENSG00000160058	protein_coding
845	+	PPY2P	ENSG00000265060	transcribed_unprocessed_pseudogene
8911	+	USP9YP34	ENSG00000233378	unprocessed_pseudogene
422	+	AL031864.1	ENSG00000213060	processed_pseudogene
106	-	RNU6-821P	ENSG00000212297	snRNA
3122	+	GNMT	ENSG00000124713	protein_coding
20984	-	EMC8	ENSG00000131148	protein_coding
3923	-	FAM181B	ENSG00000182103	protein_coding
3108	-	AC009097.2	ENSG00000260593	antisense_RNA
533	-	IGHV3-64	ENSG00000223648	IG_V_gene
28562	+	AF127577.3	ENSG00000235277	antisense_RNA
261	+	HMGN2P28	ENSG00000236086	processed_pseudogene
73	-	RNU7-181P	ENSG00000253043	snRNA
7869	-	CYBA	ENSG00000051523	protein_coding
670	-	AL355102.5	ENSG00000259036	antisense_RNA
87682	+	BCAS4	ENSG00000124243	protein_coding
21112	-	C5orf49	ENSG00000215217	protein_coding
11683	-	AL158829.1	ENSG00000232939	antisense_RNA
862	-	NUDT19P3	ENSG00000216723	processed_pseudogene
979	-	AL589763.1	ENSG00000223353	processed_pseudogene
95	+	Y_RNA	ENSG00000252822	misc_RNA
1291	+	KRT18P31	ENSG00000249850	processed_pseudogene
577664	+	ZNF804B	ENSG00000182348	protein_coding
227570	+	AC015522.1	ENSG00000254202	lincRNA
44124	-	FASTKD1	ENSG00000138399	protein_coding
169227	-	GRIN3A	ENSG00000198785	protein_coding
1077	+	U62631.1	ENSG00000269553	sense_intronic
148594	+	ADCY1	ENSG00000164742	protein_coding
12117	+	LINC01864	ENSG00000267522	lincRNA
3296	+	AC066613.1	ENSG00000259668	antisense_RNA
3734	+	SFT2D3	ENSG00000173349	protein_coding
1464	-	NOP10	ENSG00000182117	protein_coding
53287	-	MED26	ENSG00000105085	protein_coding
165	+	SCARNA1	ENSG00000252947	scaRNA
206183	-	RBM47	ENSG00000163694	protein_coding
25588	-	MED16	ENSG00000175221	protein_coding
11254	+	LINC02373	ENSG00000257507	lincRNA
2893	-	AC093525.4	ENSG00000261140	antisense_RNA
285	-	Metazoa_SRP	ENSG00000278554	misc_RNA
24968	-	GBX1	ENSG00000164900	protein_coding
854	-	GSTM3P2	ENSG00000226878	processed_pseudogene
34268	+	PEX13	ENSG00000162928	protein_coding
3429	-	ZFX-AS1	ENSG00000234230	antisense_RNA
4907	-	AP003733.3	ENSG00000255553	lincRNA
1260	+	PSPC1-AS2	ENSG00000226352	antisense_RNA
20253	+	AC012081.1	ENSG00000240478	lincRNA
1860	+	AC008060.4	ENSG00000260426	sense_overlapping
10636	+	CES2	ENSG00000172831	protein_coding
33805	-	DPT	ENSG00000143196	protein_coding
9706	+	AL929601.1	ENSG00000257891	lincRNA
747	+	AC091132.1	ENSG00000131484	lincRNA
336	+	RPL35AP31	ENSG00000233460	processed_pseudogene
611	-	SS18L2P2	ENSG00000266201	processed_pseudogene
102	+	RNU6-231P	ENSG00000252931	snRNA
89249	-	AC008467.1	ENSG00000249476	lincRNA
1613	-	AC018861.1	ENSG00000253975	processed_pseudogene
6144	+	B3GALT4	ENSG00000235863	protein_coding
95	+	SNORD116-4	ENSG00000275529	snoRNA
23068	-	DESI1	ENSG00000100418	protein_coding
5618	+	RNASE10	ENSG00000182545	protein_coding
38640	+	TTK	ENSG00000112742	protein_coding
482	-	AL592114.1	ENSG00000219133	processed_pseudogene
398	-	FAM183DP	ENSG00000205716	processed_pseudogene
33468	+	UFL1	ENSG00000014123	protein_coding
250	+	RN7SL303P	ENSG00000240116	misc_RNA
7970	+	SMIM5	ENSG00000204323	protein_coding
27508	+	AL118523.1	ENSG00000229976	lincRNA
413	-	IGHV7-27	ENSG00000254326	IG_V_pseudogene
59532	+	AF274854.1	ENSG00000239429	unprocessed_pseudogene
16974	+	PQLC2	ENSG00000040487	protein_coding
4711	+	AP001065.1	ENSG00000228709	lincRNA
194549	+	SLC44A1	ENSG00000070214	protein_coding
100852	-	MRPS27	ENSG00000113048	protein_coding
43015	-	CBR3-AS1	ENSG00000236830	processed_transcript
363	+	AC084851.2	ENSG00000255452	processed_pseudogene
96	+	MIR5002	ENSG00000266383	miRNA
1143	+	AL158834.1	ENSG00000226842	antisense_RNA
57	-	MIR5580	ENSG00000266431	miRNA
253	-	Metazoa_SRP	ENSG00000277721	misc_RNA
106	-	Y_RNA	ENSG00000199591	misc_RNA
2645	-	AL592148.3	ENSG00000272750	antisense_RNA
5087	+	SULT1A4	ENSG00000213648	protein_coding
43386	-	BIN2	ENSG00000110934	protein_coding
72341	+	UBTD1	ENSG00000165886	protein_coding
284	+	Metazoa_SRP	ENSG00000276782	misc_RNA
104	-	Y_RNA	ENSG00000200305	misc_RNA
2040	-	LINC01005	ENSG00000228564	antisense_RNA
163953	+	QKI	ENSG00000112531	protein_coding
7063	+	ARHGEF25	ENSG00000240771	protein_coding
681	+	RPS3AP46	ENSG00000226132	processed_pseudogene
86838	-	PDE6A	ENSG00000132915	protein_coding
49033	-	LTF	ENSG00000012223	protein_coding
25047	-	ERP27	ENSG00000139055	protein_coding
73	+	MIR4660	ENSG00000263407	miRNA
7782	+	AC119800.1	ENSG00000237852	sense_intronic
1059	-	AC091607.1	ENSG00000227709	processed_pseudogene
38390	-	PAFAH2	ENSG00000158006	protein_coding
889	-	AL450263.2	ENSG00000229369	processed_pseudogene
59860	-	CARD16	ENSG00000204397	protein_coding
42590	-	MGC32805	ENSG00000250328	antisense_RNA
104	-	Y_RNA	ENSG00000206640	misc_RNA
3807	+	AL033528.2	ENSG00000236528	antisense_RNA
106	+	RNU6-532P	ENSG00000207045	snRNA
112	+	Y_RNA	ENSG00000206911	misc_RNA
101	-	RNU6-561P	ENSG00000252031	snRNA
54381	+	AC007923.4	ENSG00000266877	lincRNA
15945	+	AL158850.1	ENSG00000226571	antisense_RNA
41077	+	AL356289.1	ENSG00000226133	lincRNA
699	+	AC004067.1	ENSG00000273447	antisense_RNA
2539	+	AL365199.1	ENSG00000234944	lincRNA
1388	+	EEF1A1P11	ENSG00000228502	processed_pseudogene
8740	-	SPANXN3	ENSG00000189252	protein_coding
24489	-	LINC01282	ENSG00000236747	lincRNA
7585	+	SYDE1	ENSG00000105137	protein_coding
64358	+	HERC6	ENSG00000138642	protein_coding
2709	-	AP002353.1	ENSG00000254702	processed_pseudogene
1089	-	AC023271.1	ENSG00000228513	processed_pseudogene
274996	+	PTPRO	ENSG00000151490	protein_coding
372	+	AC079448.1	ENSG00000236712	processed_pseudogene
28873	+	ZNF10	ENSG00000256223	protein_coding
590	-	RPL23AP96	ENSG00000250752	processed_pseudogene
1613	-	H2AFX	ENSG00000188486	protein_coding
7835	+	AC009779.8	ENSG00000272937	transcribed_unprocessed_pseudogene
30	-	IGHD3-3	ENSG00000211930	IG_D_gene
62612	+	LINC02548	ENSG00000255411	lincRNA
544	+	AC013400.1	ENSG00000271991	lincRNA
5296	-	POM121L1P	ENSG00000183169	transcribed_unprocessed_pseudogene
159	-	AC025627.2	ENSG00000263107	processed_pseudogene
1008	-	AC079238.1	ENSG00000250547	processed_pseudogene
542	+	AL352977.1	ENSG00000258418	lincRNA
328	+	Metazoa_SRP	ENSG00000275680	misc_RNA
129752	-	MIR181A1HG	ENSG00000229989	lincRNA
101	+	Y_RNA	ENSG00000206714	misc_RNA
528	-	AC009039.2	ENSG00000279779	TEC
1508	+	KDELC1P1	ENSG00000250329	processed_pseudogene
105	-	RNU6-937P	ENSG00000207053	snRNA
106	-	RNU6-456P	ENSG00000207222	snRNA
478	-	AL139039.2	ENSG00000217181	processed_pseudogene
1020	-	TAS2R31	ENSG00000256436	protein_coding
180	+	TTC28-AS1_3	ENSG00000274342	misc_RNA
872	+	LINC00333	ENSG00000233349	lincRNA
335	-	AC098831.1	ENSG00000240761	processed_pseudogene
210	+	SNRPCP8	ENSG00000250580	processed_pseudogene
268	+	UBE2V1P10	ENSG00000226590	processed_pseudogene
110226	+	ARHGAP8	ENSG00000241484	protein_coding
26911	-	FANCD2OS	ENSG00000163705	protein_coding
121	-	RNU4-6P	ENSG00000222736	snRNA
2047	+	AL450023.1	ENSG00000228354	processed_pseudogene
71944	-	KIAA1210	ENSG00000250423	protein_coding
12711	+	DDX20	ENSG00000064703	protein_coding
105	+	RNU6-827P	ENSG00000202423	snRNA
9203	-	QARS	ENSG00000172053	protein_coding
4705	+	AC007159.1	ENSG00000261146	lincRNA
1294	-	HNRNPA1P17	ENSG00000243188	unprocessed_pseudogene
20290	-	LMAN2	ENSG00000169223	protein_coding
1044	-	CABYRP1	ENSG00000242983	processed_pseudogene
58	-	MIR7978	ENSG00000283281	miRNA
2983	-	AC104365.2	ENSG00000267501	lincRNA
59339	+	ZC3H11A	ENSG00000058673	protein_coding
106	-	Y_RNA	ENSG00000207127	misc_RNA
89628	+	PALD1	ENSG00000107719	protein_coding
189932	+	CCSER2	ENSG00000107771	protein_coding
2872	-	AC010969.1	ENSG00000188525	antisense_RNA
432	+	CALM1P1	ENSG00000223467	processed_pseudogene
24444	+	TMEM50A	ENSG00000183726	protein_coding
68	-	MIR6854	ENSG00000278412	miRNA
360198	-	AC004917.1	ENSG00000243797	sense_overlapping
7117	-	RNF222	ENSG00000189051	protein_coding
557	+	UBE2V1P14	ENSG00000228134	processed_pseudogene
1605	+	USP9YP13	ENSG00000224571	unprocessed_pseudogene
741	-	RPL7P52	ENSG00000228599	processed_pseudogene
441	-	AL627223.1	ENSG00000227845	processed_pseudogene
321	-	AC008750.6	ENSG00000268711	unprocessed_pseudogene
1193735	+	AUTS2	ENSG00000158321	protein_coding
5536	-	OTOS	ENSG00000178602	protein_coding
925	-	LINC02013	ENSG00000228730	lincRNA
7138	+	ACR	ENSG00000100312	protein_coding
1588	+	RRAGA	ENSG00000155876	protein_coding
248	+	SNORA53	ENSG00000212443	snoRNA
53313	-	USP36	ENSG00000055483	protein_coding
144325	-	CERS3	ENSG00000154227	protein_coding
23519	-	ZNF335	ENSG00000198026	protein_coding
65173	+	SDHAF3	ENSG00000196636	protein_coding
334	-	EIF1P4	ENSG00000262154	processed_pseudogene
85472	+	INHBA-AS1	ENSG00000224116	antisense_RNA
52128	+	AC074091.1	ENSG00000259080	processed_transcript
669	+	AC234775.1	ENSG00000223753	processed_pseudogene
589	-	AC004477.3	ENSG00000278765	lincRNA
8239	+	THAP7-AS1	ENSG00000230513	antisense_RNA
86	+	MIR519A2	ENSG00000284362	miRNA
5347	+	AC092335.1	ENSG00000250448	antisense_RNA
152	+	SNORA46	ENSG00000212371	snoRNA
10268	+	PCAT14	ENSG00000280623	lincRNA
370	+	RPS12P5	ENSG00000226216	processed_pseudogene
1297	+	AL008638.5	ENSG00000279914	lincRNA
107	+	RNU6-605P	ENSG00000199963	snRNA
65812	+	OCLN	ENSG00000197822	protein_coding
1195	+	RFC5P1	ENSG00000233526	processed_pseudogene
491	-	MTCO1P31	ENSG00000251476	processed_pseudogene
989	-	AC011411.1	ENSG00000249363	processed_pseudogene
743	-	AL096700.1	ENSG00000196564	processed_pseudogene
308390	+	RALGPS1	ENSG00000136828	protein_coding
45754	+	JDP2	ENSG00000140044	protein_coding
70684	-	GRIK5	ENSG00000105737	protein_coding
4954	+	AC010247.2	ENSG00000259436	antisense_RNA
3195	+	AC073136.1	ENSG00000223559	processed_pseudogene
296	-	CYCSP5	ENSG00000227735	processed_pseudogene
263	-	MTND1P37	ENSG00000283456	processed_pseudogene
33247	+	AC108047.1	ENSG00000233654	antisense_RNA
106	+	RNU6-812P	ENSG00000200048	snRNA
741035	-	RORA	ENSG00000069667	protein_coding
3684	+	AL117350.1	ENSG00000237481	antisense_RNA
36848	-	GTF2IRD2P1	ENSG00000214544	transcribed_unprocessed_pseudogene
14691	-	AL357315.1	ENSG00000227535	sense_overlapping
49615	-	VPS39	ENSG00000166887	protein_coding
1347	+	AL136084.1	ENSG00000229338	processed_pseudogene
90	+	SNORA31	ENSG00000252349	snoRNA
675	+	AP000255.1	ENSG00000273091	lincRNA
1568	-	AC010907.1	ENSG00000224661	antisense_RNA
59252	+	C6orf58	ENSG00000184530	protein_coding
13832	+	FSCN1	ENSG00000075618	protein_coding
11221	+	AC091132.2	ENSG00000236234	antisense_RNA
47137	-	LINC02036	ENSG00000225742	lincRNA
329	-	AL031779.1	ENSG00000227602	sense_intronic
886	+	SULT1C2P2	ENSG00000261209	unprocessed_pseudogene
51182	+	PPP1CB	ENSG00000213639	protein_coding
335125	+	ZFAND3	ENSG00000156639	protein_coding
1315	+	BX119904.4	ENSG00000237860	unprocessed_pseudogene
13198	+	CCS	ENSG00000173992	protein_coding
1746	+	AP002001.2	ENSG00000255065	processed_pseudogene
71	-	MT-TQ	ENSG00000210107	Mt_tRNA
1569	-	CDY15P	ENSG00000223362	unprocessed_pseudogene
312	-	AF279873.1	ENSG00000188512	processed_pseudogene
416	-	TCEAL3-AS1	ENSG00000224031	antisense_RNA
15809	-	DUSP18	ENSG00000167065	protein_coding
17347	+	NPIPA2	ENSG00000254852	protein_coding
16838	-	LINC01224	ENSG00000269416	lincRNA
16380	+	NBL1	ENSG00000158747	protein_coding
9047	-	HIST2H2BA	ENSG00000223345	transcribed_unprocessed_pseudogene
101	-	RNU6-986P	ENSG00000200003	snRNA
89163	+	SLC7A11-AS1	ENSG00000250033	processed_transcript
26116	-	AP000487.1	ENSG00000246889	antisense_RNA
538	+	HSPE1P25	ENSG00000232015	processed_pseudogene
70944	-	IQCG	ENSG00000114473	protein_coding
21067	-	SDHAP3	ENSG00000185986	transcribed_unprocessed_pseudogene
2626	-	PRAMEF19	ENSG00000204480	protein_coding
6656	+	AL162419.1	ENSG00000228322	antisense_RNA
3194	-	CSF2RBP1	ENSG00000232254	unprocessed_pseudogene
20381	-	TDRKH	ENSG00000182134	protein_coding
8909	+	UTP14C	ENSG00000253797	protein_coding
599	+	AC093278.1	ENSG00000244061	processed_pseudogene
221	-	SNRPGP1	ENSG00000258577	processed_pseudogene
6967	-	LINC01940	ENSG00000227744	lincRNA
571	-	AL049545.1	ENSG00000217272	processed_pseudogene
6280	-	BACH1-AS1	ENSG00000232118	lincRNA
36812	+	ZNF808	ENSG00000198482	protein_coding
672	+	AC063924.1	ENSG00000257368	processed_pseudogene
6801	+	WFDC13	ENSG00000168634	protein_coding
1632	-	AC013467.1	ENSG00000227180	processed_pseudogene
788	-	RPL21P108	ENSG00000232701	processed_pseudogene
350	-	AC027309.3	ENSG00000280318	TEC
480	+	TPRKBP1	ENSG00000231911	processed_pseudogene
52277	+	NAT1	ENSG00000171428	protein_coding
25660	-	MPZL3	ENSG00000160588	protein_coding
13280	+	ZNF226	ENSG00000167380	protein_coding
5923	-	THA1P	ENSG00000267676	unitary_pseudogene
55422	+	SCG5	ENSG00000166922	protein_coding
1675	+	HSPD1P10	ENSG00000216990	processed_pseudogene
2334	-	AL136363.2	ENSG00000271056	processed_pseudogene
17393	+	GPRC5C	ENSG00000170412	protein_coding
41683	-	SLC6A4	ENSG00000108576	protein_coding
53422	+	PDE6C	ENSG00000095464	protein_coding
841	+	AC111152.3	ENSG00000260174	processed_pseudogene
191	-	AL138825.1	ENSG00000278102	processed_pseudogene
3868	-	KRT31	ENSG00000094796	protein_coding
57244	+	RNF2	ENSG00000121481	protein_coding
130	+	SMAD5-AS1_2	ENSG00000275646	misc_RNA
63382	-	TMPRSS2	ENSG00000184012	protein_coding
96323	-	C22orf39	ENSG00000242259	protein_coding
